,city,country,food_l,drinks_l,transportation_l,accommodation_l,entertainment_l,Net_Salary,province_name,population,density,general_l
0,Toronto,Canada,37.796666666666674,4.45,11.382573333333333,5529.8375,52.589999999999996,3249.79,Ontario,5429524.0,4334.4,161.517615
1,Vancouver,Canada,36.809999999999995,4.95375,12.127565000000002,5900.1224999999995,52.66571428571428,3474.89,British Columbia,2264823.0,5492.6,165.55825428571427
2,Calgary,Canada,30.14,4.335000000000001,11.846986666666666,2365.185,52.32285714285714,3807.94,Alberta,1239220.0,1501.1,122.29669380952382
3,Edmonton,Canada,31.373333333333335,4.28875,11.163943333333336,1682.5975,47.800000000000004,3403.02,Alberta,1062643.0,1360.9,111.45200166666667
4,Ottawa,Canada,30.14,4.3237499999999995,10.437673333333333,3038.2675,51.77571428571429,3319.71,Ontario,989567.0,334.0,127.05981261904762
5,Winnipeg,Canada,26.209999999999997,4.16375,11.108339999999998,2083.3250000000003,43.96142857142858,2145.63,Manitoba,705244.0,1430.0,106.27676857142859
6,Quebec City,Canada,27.933333333333334,3.9662499999999996,11.28738,2915.395,48.57142857142857,3012.07,Quebec,705103.0,1173.2,120.9123419047619
7,Halifax,Canada,30.136666666666667,4.78625,11.471005,2322.2875,52.35000000000001,3072.15,Nova Scotia,403131.0,73.4,121.96679666666667
8,Victoria,Canada,31.373333333333335,4.8325,13.126431666666667,4434.57,50.215714285714284,3521.25,British Columbia,335696.0,4406.3,143.89367928571428
9,Victoria,Canada,31.373333333333335,4.8325,13.126431666666667,4434.57,50.215714285714284,3521.25,Newfoundland and Labrador,1800.0,102.0,143.89367928571428
10,Victoria,Canada,31.373333333333335,4.8325,13.126431666666667,4434.57,50.215714285714284,3521.25,Manitoba,1514.0,2.2,143.89367928571428
11,Mississauga,Canada,26.433333333333334,3.8737500000000002,11.682180000000002,4323.344999999999,51.881428571428565,3413.29,Ontario,721599.0,2467.6,137.1041419047619
12,Hamilton,Canada,28.036666666666665,4.12125,11.82867833333333,3073.48,47.769999999999996,2816.37,Ontario,693645.0,480.6,122.491395
13,Brampton,Canada,28.41,3.7825000000000006,10.309281666666665,3662.9375,36.33428571428571,3489.58,Ontario,593638.0,2228.7,115.46544238095238
14,Surrey,Canada,26.679999999999996,4.59875,11.113556666666666,4689.41,47.44714285714286,3800.35,British Columbia,517887.0,1636.8,136.73354952380953
15,Laval,Canada,25.543333333333333,3.81,10.329683333333334,2859.3525,41.18857142857143,2734.02,Quebec,422993.0,1710.9,109.46511309523811
16,London,Canada,33.473333333333336,4.0025,10.6379,3676.9475,49.04,3446.3,Ontario,383822.0,913.1,133.92320833333332
17,Markham,Canada,39.44,4.2437499999999995,10.202720000000001,6346.62,50.01857142857143,3186.84,Ontario,328966.0,1549.2,167.3712414285714
18,Vaughan,Canada,32.98,4.5874999999999995,11.021234999999999,3520.4624999999996,52.43142857142857,3335.17,Ontario,306233.0,1119.4,136.22478857142855
19,Windsor,Canada,27.666666666666668,4.3525,11.725183333333332,2447.8225,45.33571428571429,2979.01,Ontario,276165.0,1484.3,113.5582892857143
20,Windsor,Canada,27.666666666666668,4.3525,11.725183333333332,2447.8225,45.33571428571429,2979.01,Quebec,5367.0,375.5,113.5582892857143
21,Windsor,Canada,27.666666666666668,4.3525,11.725183333333332,2447.8225,45.33571428571429,2979.01,Nova Scotia,3648.0,400.6,113.5582892857143
22,Saskatoon,Canada,26.433333333333337,4.52625,11.327419999999998,2049.7275,49.441428571428574,3239.88,Saskatchewan,246376.0,1080.0,112.2257069047619
23,Burnaby,Canada,26.926666666666666,4.1,11.349205,4765.8975,41.56857142857143,3460.62,British Columbia,232755.0,2568.7,131.60341809523808
24,Burlington,Canada,30.673333333333336,4.32875,11.510336666666667,4756.045,48.60428571428571,4435.78,Ontario,183314.0,946.8,142.67715571428573
25,Kelowna,Canada,27.05,4.66625,12.196521666666667,2699.2174999999997,46.59285714285715,3119.7,British Columbia,142146.0,601.3,117.49780380952382
26,Langley,Canada,28.040000000000003,4.6175,13.125435000000001,4698.5625,43.57714285714285,3816.92,British Columbia,117285.0,380.8,136.34570285714287
27,Kamloops,Canada,24.08666666666667,3.8099999999999996,13.345043333333331,3741.2975,46.03142857142858,2841.07,British Columbia,100046.0,301.7,124.68611357142858
28,Newmarket,Canada,29.74333333333333,3.8675000000000006,11.095946666666668,2660.4175,45.73857142857143,2421.09,Ontario,84224.0,2190.5,117.04952642857144
29,Lethbridge,Canada,27.546666666666667,4.32,10.942345000000001,1642.85,51.67857142857143,2425.54,Alberta,92729.0,759.5,110.9160830952381
30,Nanaimo,Canada,29.583333333333332,4.73,15.403466666666665,2777.0625,45.528571428571425,2791.66,British Columbia,90504.0,918.0,123.01599642857143
31,Sudbury,Canada,27.666666666666668,4.135,14.806043333333333,2457.9375,56.56,4632.19,Ontario,88054.0,49.7,127.747085
32,Sault Ste. Marie,Canada,25.44333333333334,4.1137500000000005,11.263526666666666,1783.9099999999999,42.74714285714286,2317.33,Ontario,73368.0,328.6,101.40685285714287
33,Charlottetown,Canada,30.263333333333332,4.16125,13.927613333333333,1634.2625,39.98571428571428,1704.64,Prince Edward Island,42602.0,779.7,104.68053595238095
34,Timmins,Canada,27.666666666666668,3.65,12.407618333333334,1907.8175,53.22142857142857,2964.6,Ontario,41788.0,14.0,116.02388857142857
35,Courtenay,Canada,24.95,4.54875,11.583451666666669,2570.355,50.31857142857143,3732.89,British Columbia,25599.0,789.9,117.1043230952381
